OBJECTID,PlantNum,StemNum,Species,SpeciesType,SpType2,HeightClass,BDClass,PlotIdentity,PlotNum,PlotSp.Rich,UnderstorySp.Rich,OverstorySp.Rich,L1,L1DamType,L2,L2DamType,L3,L3DamType,L4,L4DamType,L5,L5DamType,AvgDamage,AvgDamageType,Xcoord,Ycoord,PlotSpRich
605,192,1,hamvi,3,3,1,1,9,4,8,5,3,5,2,10,2,45,2,5,2,0,0,13,1.6,471341.1389,93111.9005,
160,2922,1,hamvi,3,3,1,1,9,4,8,5,3,10,1,5,2,0,0,0,0,0,0,3,0.6,471325.8491,93115.4036,
215,914,1,fraam,1,1,1,1,9,4,8,5,3,1,1,25,1,3,1,5,1,0,0,6.8,0.8,471343.3942,93110.7227,
66,87,1,hamvi,3,3,1,1,9,4,8,5,3,1,2,1,1,1,1,0,0,0,0,0.6,0.8,471342.1981,93110.6133,
357,181,3,hamvi,3,3,1,1,9,4,8,5,3,1,2,0,0,0,0,1,2,0,0,0.4,0.8,471340.3663,93111.5332,
627,1924,1,hamvi,3,3,1,1,9,4,8,5,3,10,2,5,2,10,1,0,0,0,0,5,1,471340.997,93112.3159,
584,2815,4,linbe,3,3,1,1,9,4,8,5,3,5,2,5,1,5,1,0,0,0,0,3,0.8,471345.2088,93107.2122,
787,201,1,hamvi,3,3,1,1,9,4,8,5,3,10,1,2,1,15,2,5,2,1,2,6.6,1.6,471339.6962,93108.7033,
254,950,1,fraam,1,1,1,1,9,4,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,471345.0745,93110.0531,
59,81,3,hamvi,3,3,1,1,9,4,8,5,3,5,1,20,1,5,1,30,1,0,0,12,0.8,471341.8232,93111.2126,
217,916,1,fraam,1,1,1,1,9,4,8,5,3,0,0,60,2,0,0,0,0,10,2,14,0.8,471339.3185,93108.8169,
570,2811,4,linbe,3,3,1,1,9,4,8,5,3,25,1,0,0,0,0,0,0,0,0,5,0.2,471342.5764,93113.3557,
224,923,1,fraam,1,1,1,1,9,4,8,5,3,20,1,30,1,5,1,5,1,0,0,12,0.8,471341.377,93107.8852,
166,2929,1,hamvi,3,3,1,1,9,4,8,5,3,50,2,5,1,40,1,10,2,10,1,23,1.4,471340.3641,93108.6331,
118,851,1,hamvi,3,3,1,1,9,4,8,5,3,5,1,5,1,5,1,1,1,5,1,4.2,1,471339.4896,93112.4631,
124,857,1,fraam,1,1,1,1,9,4,8,5,3,0,0,0,0,0,0,1,1,1,2,0.4,0.6,471342.4959,93110.473,
590,2817,3,linbe,3,3,1,1,9,4,8,5,3,10,1,5,1,5,1,1,1,0,0,4.2,0.8,471345.5909,93110.3098,
240,937,1,fraam,1,1,1,1,9,4,8,5,3,5,1,5,1,5,1,10,1,0,0,5,0.8,471341.4904,93109.2103,
